regime,resource,coupling,role,source,destination,file_count,bytes
only_dephasing,magic_W_half,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_magic_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/magic_W_half/gaussian_T/full_scan,310,5883301
only_dephasing,magic_W_half,gaussian_T,W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/lista_simulacoes_open_system/open_system_sims1/only_dephasing_magic_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/magic_W_half/gaussian_T/W_half,202,13915234
only_dephasing,magic_W_half,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_magic_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/magic_W_half/cosine_omega/full_scan,610,11712503
only_dephasing,magic_W_half,cosine_omega,W_half,/Users/cesar/Research/time-dependent-coupling-open/results/mixed_state_magic_witnesses/mixed_magic1/derived/lista_simulacoes_open_system/open_system_sims1/only_dephasing_magic_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/magic_W_half/cosine_omega/W_half,402,27967946
only_dephasing,entanglement,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_entanglement_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/entanglement/gaussian_zeta/full_scan,310,6143264
only_dephasing,entanglement,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_entanglement_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/entanglement/gaussian_T/full_scan,310,6115671
only_dephasing,entanglement,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_dephasing_entanglement_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_dephasing/entanglement/cosine_omega/full_scan,610,11969031
only_cavity_damping,wigner,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_cavity_damping_wigner_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/wigner/gaussian_zeta/full_scan,760,8201233
only_cavity_damping,wigner,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_cavity_damping_wigner_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/wigner/gaussian_T/full_scan,310,3289075
only_cavity_damping,wigner,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_cavity_damping_wigner_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/wigner/cosine_omega/full_scan,310,3266967
only_cavity_damping,coherence,gaussian_zeta,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_cavity_damping_coherence_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/coherence/gaussian_zeta/full_scan,310,6110811
only_cavity_damping,coherence,gaussian_zeta,corrected_coherence,/Users/cesar/Research/time-dependent-coupling-open/results/correct_coerence/only_cavity_damping_coherence_gauss_zeta,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/coherence/gaussian_zeta/corrected_coherence,107,538227
only_cavity_damping,coherence,gaussian_T,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_cavity_damping_coherence_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/coherence/gaussian_T/full_scan,310,6093981
only_cavity_damping,coherence,gaussian_T,corrected_coherence,/Users/cesar/Research/time-dependent-coupling-open/results/correct_coerence/only_cavity_damping_coherence_gauss_T,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/coherence/gaussian_T/corrected_coherence,107,536545
only_cavity_damping,coherence,cosine_omega,full_scan,/Users/cesar/Research/time-dependent-coupling-open/results/lista_simulacoes_open_system/open_system_sims1/only_cavity_damping_coherence_cos_omega,/Users/cesar/Research/time-dependent-coupling-open/results/paper_dataset_consolidated1/only_cavity_damping/coherence/cosine_omega/full_scan,610,11878032
