t,sz_const,nb_const,sz_const_aberto,nb_const_aberto
29.809045226130653,0.059596824115768866,4.9701514524970944,-0.4745857064150037,0.35187012060169814
30.05527638190955,0.03989045134188365,4.980004198973192,-0.48044324491646917,0.3462053709031016
30.301507537688444,0.005752490463419173,4.997072741223852,-0.48677843101599116,0.34091408919405647
30.547738693467338,-0.01016903779914644,5.005033066831398,-0.4933182048305665,0.33585222744076826
30.79396984924623,-0.01361618887488441,5.00675620371399,-0.4997361819966904,0.3308530013228518
31.04020100502513,-0.032836433944571856,5.016365887486951,-0.5057477389489883,0.325774400129961
31.286432160804022,-0.06307359195176755,5.031484027610351,-0.5111854381883969,0.3205358030498305
31.532663316582916,-0.05717091294200991,5.028532249107682,-0.5160336451968689,0.31513353593374954
31.77889447236181,0.007830697263851376,4.996031004889714,-0.5204170578380987,0.3096332904284422
32.02512562814071,0.07661576156904674,4.961638033505089,-0.5245531181205081,0.304144905418332
32.2713567839196,0.06821499892176215,4.965837975480202,-0.5286874493723187,0.298789399608346
32.517587939698494,-0.015396623308103806,5.007643347130606,-0.5330325084802753,0.29366841243278957
32.76381909547739,-0.07638522167719751,5.038137206735338,-0.5377241080443456,0.2888432248186779
33.01005025125628,-0.04213321998954637,5.021010766197446,-0.5428020403569503,0.2843261960110759
33.256281407035175,0.0364330545131785,4.981727189139151,-0.5482134788013924,0.2800836540392276
33.50251256281407,0.05386573381305328,4.973010409570936,-0.5538333531075437,0.2760470921508357
33.74874371859297,-0.002992437129655741,5.001439055014272,-0.5594946854755029,0.27212900562766945
33.99497487437186,-0.04308521878747702,5.021485005707253,-0.5650227045532885,0.2682402037055458
34.24120603015076,-0.013474569096465187,5.006679240620102,-0.5702678579636037,0.2643061520180884
34.48743718592965,0.022184533201617597,4.988849249126269,-0.5751336343982103,0.2602803500569921
34.733668341708544,-0.006126955431771957,5.003004552997768,-0.5795953200567183,0.2561529019036135
34.97989949748744,-0.05230614196170747,5.026093705720019,-0.5837060861419117,0.25195261807746017
35.22613065326633,-0.026555959508024356,5.013218173856046,-0.5875879323854996,0.24774158521264794
35.472361809045225,0.046098593806220826,4.97689045647092,-0.5914074324562036,0.2436023631230801
35.718592964824126,0.0498152273242108,4.975031564454314,-0.5953397126890934,0.2396196871810333
35.96482412060302,-0.03412997289888186,5.0170037447061855,-0.5995277498708752,0.23586031264576737
36.21105527638191,-0.08054557450534519,5.04021110444987,-0.6040466024572012,0.2323557961827309
36.45728643216081,-0.009941740900464534,5.004908747749937,-0.6088823638521026,0.22909297637954804
36.7035175879397,0.08260899830018319,4.9586329385255565,-0.6139328078312232,0.2260154041204791
36.949748743718594,0.07241492746043852,4.963729534181063,-0.6190312390033245,0.2230361972023916
37.19597989949749,-0.009993889276565172,5.004933502747894,-0.623988390028457,0.2200594869591429
37.44221105527638,-0.05005045275472331,5.024961344647439,-0.6286414533862605,0.21700485379609655
37.688442211055275,-0.03666712621641179,5.018269241501738,-0.6328965936355446,0.21382793453340307
37.934673366834176,-0.043265830801396454,5.021568153885034,-0.6367527613941885,0.2105312833408261
38.18090452261307,-0.06358380155766974,5.031726699325418,-0.6403000588115154,0.2071623964807506
